Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,854,49,903,5.4
2018,916,66,982,6.7
2019,842,146,988,14.8
2020,728,169,897,18.8
2021,880,183,1063,17.2
2022,707,210,917,22.9
2023,670,217,887,24.5
2024,668,124,792,15.7
2025,641,108,749,14.4
