Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,854,49,903,4,169,69,21,24,478,765,5.4,9.0
2018,916,66,982,8,148,93,13,35,522,819,6.7,11.4
2019,842,148,990,10,138,63,13,31,545,800,14.9,7.9
2020,728,169,897,2,124,72,7,21,365,591,18.8,12.2
2021,880,184,1064,3,141,78,20,35,488,765,17.3,10.2
2022,707,211,918,4,179,83,4,18,497,785,23.0,10.6
2023,670,217,887,8,160,93,17,18,394,690,24.5,13.5
2024,668,124,792,3,144,59,7,25,330,568,15.7,10.4
2025,641,111,752,3,125,76,9,29,348,590,14.8,12.9
