Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,854,11,865,1.3
2018,916,12,928,1.3
2019,842,22,864,2.5
2020,728,22,750,2.9
2021,880,7,887,0.8
2022,707,10,717,1.4
2023,670,0,670,0.0
2024,668,3,671,0.4
2025,641,3,644,0.5
