Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,217,10,0,227,4.4,53,54,107,49.5
2017 Q2,190,13,0,203,6.4,65,88,153,42.5
2017 Q3,206,10,0,216,4.6,59,58,117,50.4
2017 Q4,200,8,0,208,3.8,79,42,121,65.3
2018 Q1,227,9,0,236,3.8,73,73,146,50.0
2018 Q2,210,15,0,225,6.7,68,53,121,56.2
2018 Q3,228,7,2,237,3.0,73,73,146,50.0
2018 Q4,200,18,0,218,8.3,63,59,122,51.6
2019 Q1,188,15,0,203,7.4,54,65,119,45.4
2019 Q2,185,17,0,202,8.4,98,88,186,52.7
2019 Q3,219,12,0,231,5.2,70,45,115,60.9
2019 Q4,198,8,0,206,3.9,62,77,139,44.6
2020 Q1,182,7,0,189,3.7,47,58,105,44.8
2020 Q2,169,9,0,178,5.1,36,51,87,41.4
2020 Q3,183,7,0,190,3.7,42,48,90,46.7
2020 Q4,163,8,0,171,4.7,41,49,90,45.6
2021 Q1,196,13,0,209,6.2,53,60,113,46.9
2021 Q2,211,6,0,217,2.8,70,78,148,47.3
2021 Q3,229,4,0,233,1.7,49,60,109,45.0
2021 Q4,202,19,0,221,8.6,66,72,138,47.8
2022 Q1,176,18,0,194,9.3,70,73,143,49.0
2022 Q2,151,19,0,170,11.2,57,72,129,44.2
2022 Q3,164,21,0,186,11.3,48,57,105,45.7
2022 Q4,142,12,3,157,7.6,62,62,124,50.0
2023 Q1,179,6,1,186,3.2,75,61,136,55.1
2023 Q2,156,10,0,167,6.0,55,52,107,51.4
2023 Q3,142,13,0,155,8.4,39,48,87,44.8
2023 Q4,148,13,1,162,8.0,41,42,83,49.4
2024 Q1,156,7,0,163,4.3,40,46,86,46.5
2024 Q2,131,11,0,143,7.7,36,43,79,45.6
2024 Q3,177,7,0,185,3.8,43,38,81,53.1
2024 Q4,169,8,0,177,4.5,45,45,90,50.0
2025 Q1,141,11,0,152,7.2,45,53,98,45.9
2025 Q2,150,9,0,159,5.7,41,36,77,53.2
2025 Q3,173,12,3,188,6.4,51,58,109,46.8
2025 Q4,125,15,1,142,10.6,35,37,72,48.6
2026 Q1,155,14,0,169,8.3,42,37,79,53.2
2026 Q2,137,13,0,150,8.7,42,39,81,51.9
