Disposition Quarter,Average number of hearings per case
2017 Q1,6.6373
2017 Q2,6.8201
2017 Q3,7.2074
2017 Q4,6.7813
2018 Q1,7.4351
2018 Q2,7.3453
2018 Q3,7.7333
2018 Q4,8.0228
2019 Q1,7.6787
2019 Q2,8.1079
2019 Q3,8.1969
2019 Q4,8.0244
2020 Q1,8.3435
2020 Q2,8.9636
2020 Q3,9.2312
2020 Q4,9.7027
2021 Q1,9.3014
2021 Q2,11.1918
2021 Q3,11.0227
2021 Q4,9.887
2022 Q1,10.1832
2022 Q2,10.7449
2022 Q3,9.9921
2022 Q4,9.3718
2023 Q1,9.7857
2023 Q2,9.753
2023 Q3,9.4869
2023 Q4,8.756
2024 Q1,9.6687
2024 Q2,9.1499
2024 Q3,9.3482
2024 Q4,8.8034
2025 Q1,9.3566
2025 Q2,9.6573
2025 Q3,9.5448
2025 Q4,9.4095
2026 Q1,9.4835
2026 Q2,9.1936
