Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,0,2,2,133,344,477,31,80,111,428,1201,1629,0.0,27.9,27.9,26.3
2020,2,9,11,128,299,427,30,66,96,376,863,1239,18.2,30.0,31.2,30.3
2021,5,8,13,144,252,396,22,63,85,404,814,1218,38.5,36.4,25.9,33.2
2022,3,5,8,132,235,367,27,62,89,367,674,1041,37.5,36.0,30.3,35.3
2023,2,3,5,130,276,406,36,57,93,348,619,967,40.0,32.0,38.7,36.0
2024,1,7,8,135,272,407,28,40,68,325,557,882,12.5,33.2,41.2,36.8
2025,0,4,4,115,280,395,34,57,91,297,629,926,0.0,29.1,37.4,32.1
