Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,184,172,327,4,12,1779
2021,167,133,326,7,18,1709
2022,198,164,320,4,17,1504
2023,179,128,325,12,13,1474
2024,179,126,357,9,23,1362
2025,190,162,333,11,30,1402
