Metric,Felony,Misdemeanor
Cases Resolved 2025,2131.0,9221.0
Change since 2024,3.64785992,10.89597114
,,
Cases Resolved Quarter 4 2025,505.0,2350.0
Change since Quarter 4 2024,-4.35606061,20.02042901
