Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,245,411,656,37.34756098,62.65243902
2017 Q2,264,477,741,35.62753036,64.37246964
2017 Q3,271,398,669,40.50822123,59.49177877
2017 Q4,290,448,738,39.29539295,60.70460705
2018 Q1,289,380,669,43.19880419,56.80119581
2018 Q2,342,463,805,42.48447205,57.51552795
2018 Q3,332,409,741,44.80431849,55.19568151
2018 Q4,303,394,697,43.47202296,56.52797704
2019 Q1,357,386,743,48.04845222,51.95154778
2019 Q2,364,395,759,47.95783926,52.04216074
2019 Q3,324,426,750,43.2,56.8
2019 Q4,360,408,768,46.875,53.125
2020 Q1,366,341,707,51.76803395,48.23196605
2020 Q2,280,170,450,62.22222222,37.77777778
2020 Q3,399,231,630,63.33333333,36.66666667
2020 Q4,392,233,625,62.72,37.28
2021 Q1,352,180,532,66.16541353,33.83458647
2021 Q2,399,219,618,64.5631068,35.4368932
2021 Q3,385,201,586,65.6996587,34.3003413
2021 Q4,339,189,528,64.20454545,35.79545455
2022 Q1,384,195,579,66.32124352,33.67875648
2022 Q2,341,175,516,66.08527132,33.91472868
2022 Q3,316,186,502,62.94820717,37.05179283
2022 Q4,310,220,530,58.49056604,41.50943396
2023 Q1,355,172,527,67.36242884,32.63757116
2023 Q2,337,223,560,60.17857143,39.82142857
2023 Q3,300,207,507,59.17159763,40.82840237
2023 Q4,242,197,439,55.12528474,44.87471526
2024 Q1,295,178,473,62.36786469,37.63213531
2024 Q2,313,194,507,61.7357002,38.2642998
2024 Q3,335,146,481,69.64656965,30.35343035
2024 Q4,309,197,506,61.06719368,38.93280632
2025 Q1,321,182,503,63.81709742,36.18290258
2025 Q2,357,188,545,65.50458716,34.49541284
2025 Q3,331,168,499,66.33266533,33.66733467
2025 Q4,323,170,493,65.51724138,34.48275862
2026 Q1,364,157,521,69.86564299,30.13435701
2026 Q2,289,162,451,64.07982262,35.92017738
