District,Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
08,2020,2,9,11,128,299,427,30,66,96,376,863,1239,18.18181818,29.9765808,31.25,30.34705408
08,2021,5,8,13,144,253,397,22,63,85,404,813,1217,38.46153846,36.2720403,25.88235294,33.19638455
08,2022,3,5,8,132,235,367,27,62,89,367,674,1041,37.5,35.96730245,30.33707865,35.25456292
08,2023,2,3,5,131,276,407,36,57,93,347,621,968,40.0,32.18673219,38.70967742,35.84710744
08,2024,1,7,8,135,271,406,28,40,68,325,558,883,12.5,33.25123153,41.17647059,36.80634202
08,2025,0,4,4,116,280,396,34,57,91,296,629,925,0.0,29.29292929,37.36263736,32.0
