District,Disposition Quarter,Average number of hearings per case
08,2017 Q1,6.6373
08,2017 Q2,6.8201
08,2017 Q3,7.2074
08,2017 Q4,6.7813
08,2018 Q1,7.4351
08,2018 Q2,7.3453
08,2018 Q3,7.7333
08,2018 Q4,8.0228
08,2019 Q1,7.6787
08,2019 Q2,8.1079
08,2019 Q3,8.1969
08,2019 Q4,8.0244
08,2020 Q1,8.3435
08,2020 Q2,8.9636
08,2020 Q3,9.2312
08,2020 Q4,9.7027
08,2021 Q1,9.3014
08,2021 Q2,11.1918
08,2021 Q3,11.0227
08,2021 Q4,9.887
08,2022 Q1,10.1832
08,2022 Q2,10.7449
08,2022 Q3,9.9921
08,2022 Q4,9.3718
08,2023 Q1,9.7857
08,2023 Q2,9.753
08,2023 Q3,9.4869
08,2023 Q4,8.756
08,2024 Q1,9.6687
08,2024 Q2,9.1499
08,2024 Q3,9.3482
08,2024 Q4,8.8034
08,2025 Q1,9.3566
08,2025 Q2,9.6573
08,2025 Q3,9.5448
08,2025 Q4,9.4095
08,2026 Q1,9.4835
08,2026 Q2,9.1936
