District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
08,2017 Q1,132.0899,85.5
08,2017 Q2,127.3738,85.0
08,2017 Q3,146.0433,96.0
08,2017 Q4,138.8957,91.0
08,2018 Q1,158.0164,104.0
08,2018 Q2,160.4584,98.0
08,2018 Q3,157.4291,103.0
08,2018 Q4,170.5882,104.0
08,2019 Q1,182.0686,115.0
08,2019 Q2,189.8155,112.0
08,2019 Q3,165.98,105.5
08,2019 Q4,187.2148,111.0
08,2020 Q1,199.239,127.0
08,2020 Q2,242.42,156.5
08,2020 Q3,237.0984,176.0
08,2020 Q4,232.5088,183.0
08,2021 Q1,236.0132,182.0
08,2021 Q2,257.5032,191.0
08,2021 Q3,251.3413,181.0
08,2021 Q4,247.0606,171.5
08,2022 Q1,246.7979,182.0
08,2022 Q2,268.7461,192.0
08,2022 Q3,231.51,159.5
08,2022 Q4,229.4679,151.5
08,2023 Q1,238.8558,181.0
08,2023 Q2,220.1482,163.0
08,2023 Q3,209.2229,163.0
08,2023 Q4,188.5057,135.0
08,2024 Q1,223.3425,160.0
08,2024 Q2,215.925,154.0
08,2024 Q3,226.0832,187.0
08,2024 Q4,202.9091,159.5
08,2025 Q1,229.6262,172.0
08,2025 Q2,233.9505,177.0
08,2025 Q3,237.2846,175.0
08,2025 Q4,229.5943,174.0
08,2026 Q1,248.382,190.0
08,2026 Q2,234.5322,173.0
