Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2019,201,208,400,11,27,2227
2020,184,172,327,4,12,1778
2021,167,133,326,7,18,1708
2022,198,164,320,4,17,1504
2023,179,128,325,12,13,1472
2024,179,126,358,9,23,1361
2025,193,162,333,11,30,1402
