Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,149,329,478,31.2
2017 Q2,159,390,549,29.0
2017 Q3,158,374,532,29.7
2017 Q4,148,417,565,26.2
2018 Q1,135,375,510,26.5
2018 Q2,139,476,615,22.6
2018 Q3,135,428,563,24.0
2018 Q4,143,398,541,26.4
2019 Q1,140,442,582,24.1
2019 Q2,137,423,560,24.5
2019 Q3,165,384,549,30.1
2019 Q4,161,402,563,28.6
2020 Q1,158,369,527,30.0
2020 Q2,94,241,335,28.1
2020 Q3,139,322,461,30.2
2020 Q4,152,316,468,32.5
2021 Q1,159,250,409,38.9
2021 Q2,143,318,461,31.0
2021 Q3,147,328,475,30.9
2021 Q4,132,250,382,34.6
2022 Q1,143,272,415,34.5
2022 Q2,131,255,386,33.9
2022 Q3,124,221,345,35.9
2022 Q4,139,236,375,37.1
2023 Q1,128,249,377,34.0
2023 Q2,140,272,412,34.0
2023 Q3,129,248,377,34.2
2023 Q4,124,195,319,38.9
2024 Q1,126,224,350,36.0
2024 Q2,133,211,344,38.7
2024 Q3,100,217,317,31.5
2024 Q4,134,234,368,36.4
2025 Q1,107,238,345,31.0
2025 Q2,127,278,405,31.4
2025 Q3,102,242,344,29.7
2025 Q4,114,219,333,34.2
2026 Q1,132,251,383,34.5
2026 Q2,116,205,321,36.1
