District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
08,2020,963,686,693,10,35,4167
08,2021,1367,1166,791,15,20,4631
08,2022,1411,1127,738,6,20,4268
08,2023,1305,1006,617,13,19,4421
08,2024,1361,1013,644,25,29,5240
08,2025,1599,1137,683,20,47,5731
