District,Metric,Felony,Misdemeanor
08,Cases Resolved 2025,2128.0,9217.0
08,Change since 2024,3.50194553,10.88787295
08,,,
08,Cases Resolved Quarter 4 2025,504.0,2349.0
08,Change since Quarter 4 2024,-4.54545455,20.03065917
