Metric,Felony,Misdemeanor
Filings 2025,2115.0,10378.0
Change since 2024,-5.6225,13.5573
,,
Filings Quarter 4 2025,491.0,2533.0
Change since Quarter 4 2024,-15.3448,2.9675
