Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,831,2344,323,3498,23.8
2017 Q2,734,2300,327,3361,21.8
2017 Q3,845,2351,365,3561,23.7
2017 Q4,783,2514,344,3641,21.5
2018 Q1,827,2194,310,3331,24.8
2018 Q2,808,2409,346,3563,22.7
2018 Q3,836,2449,364,3649,22.9
2018 Q4,764,2210,301,3275,23.3
2019 Q1,753,2339,269,3361,22.4
2019 Q2,810,2239,252,3301,24.5
2019 Q3,854,2544,395,3793,22.5
2019 Q4,723,2222,253,3198,22.6
2020 Q1,753,2267,194,3214,23.4
2020 Q2,672,1846,190,2708,24.8
2020 Q3,616,2335,336,3287,18.7
2020 Q4,630,1828,181,2639,23.9
2021 Q1,557,2254,135,2946,18.9
2021 Q2,550,2103,159,2812,19.6
2021 Q3,544,2096,245,2885,18.9
2021 Q4,508,2175,202,2885,17.6
2022 Q1,489,2033,172,2694,18.2
2022 Q2,527,1866,222,2615,20.2
2022 Q3,562,2008,273,2843,19.8
2022 Q4,542,1731,240,2513,21.6
2023 Q1,535,1764,210,2509,21.3
2023 Q2,509,1962,229,2700,18.9
2023 Q3,558,2255,280,3093,18.0
2023 Q4,546,2183,251,2980,18.3
2024 Q1,555,2088,250,2893,19.2
2024 Q2,567,2185,258,3010,18.8
2024 Q3,539,2406,326,3271,16.5
2024 Q4,580,2460,245,3285,17.7
2025 Q1,512,2456,234,3202,16.0
2025 Q2,549,2526,282,3357,16.4
2025 Q3,563,2863,336,3762,15.0
2025 Q4,491,2533,306,3330,14.7
2026 Q1,517,2499,253,3269,15.8
2026 Q2,521,2496,281,3298,15.8
