District,Filing Quarter,Number of violent cases filed per quarter
08,2017 Q1,90
08,2017 Q2,78
08,2017 Q3,92
08,2017 Q4,80
08,2018 Q1,69
08,2018 Q2,72
08,2018 Q3,80
08,2018 Q4,90
08,2019 Q1,78
08,2019 Q2,76
08,2019 Q3,95
08,2019 Q4,76
08,2020 Q1,86
08,2020 Q2,93
08,2020 Q3,87
08,2020 Q4,105
08,2021 Q1,83
08,2021 Q2,99
08,2021 Q3,100
08,2021 Q4,87
08,2022 Q1,92
08,2022 Q2,96
08,2022 Q3,98
08,2022 Q4,116
08,2023 Q1,121
08,2023 Q2,99
08,2023 Q3,115
08,2023 Q4,142
08,2024 Q1,109
08,2024 Q2,120
08,2024 Q3,105
08,2024 Q4,114
08,2025 Q1,94
08,2025 Q2,116
08,2025 Q3,119
08,2025 Q4,106
08,2026 Q1,84
08,2026 Q2,90
08,2026 Q3,3
