District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
08,2017 Q1,831,2344,323,3498,23.75643225
08,2017 Q2,734,2300,327,3361,21.83873847
08,2017 Q3,845,2351,365,3561,23.72928953
08,2017 Q4,783,2514,344,3641,21.50508102
08,2018 Q1,827,2194,310,3331,24.82737917
08,2018 Q2,808,2409,346,3563,22.67751894
08,2018 Q3,836,2449,364,3649,22.91038641
08,2018 Q4,764,2210,301,3275,23.32824427
08,2019 Q1,753,2339,269,3361,22.40404641
08,2019 Q2,810,2239,252,3301,24.53801878
08,2019 Q3,854,2544,395,3793,22.5151595
08,2019 Q4,723,2222,253,3198,22.60787992
08,2020 Q1,753,2267,194,3214,23.42874922
08,2020 Q2,672,1846,190,2708,24.81536189
08,2020 Q3,616,2335,336,3287,18.74049285
08,2020 Q4,630,1828,181,2639,23.87267905
08,2021 Q1,557,2254,135,2946,18.90699253
08,2021 Q2,550,2103,159,2812,19.55903272
08,2021 Q3,544,2096,245,2885,18.85615251
08,2021 Q4,508,2175,202,2885,17.60831889
08,2022 Q1,489,2033,172,2694,18.15144766
08,2022 Q2,527,1866,222,2615,20.15296367
08,2022 Q3,562,2008,273,2843,19.76785086
08,2022 Q4,542,1731,240,2513,21.56784719
08,2023 Q1,535,1764,210,2509,21.32323635
08,2023 Q2,509,1962,229,2700,18.85185185
08,2023 Q3,558,2254,281,3093,18.04073715
08,2023 Q4,546,2183,251,2980,18.32214765
08,2024 Q1,555,2088,250,2893,19.18423782
08,2024 Q2,567,2185,258,3010,18.8372093
08,2024 Q3,539,2406,326,3271,16.47814124
08,2024 Q4,580,2460,245,3285,17.65601218
08,2025 Q1,512,2456,234,3202,15.99000625
08,2025 Q2,549,2526,282,3357,16.3538874
08,2025 Q3,561,2863,336,3760,14.92021277
08,2025 Q4,490,2531,306,3327,14.72798317
08,2026 Q1,517,2499,253,3269,15.81523402
08,2026 Q2,521,2493,280,3294,15.81663631
08,2026 Q3,10,80,10,100,10.0
