District,Metric,Felony,Misdemeanor
08,Filings 2025,2112.0,10376.0
08,Change since 2024,-5.7564,13.5354
08,,,
08,Filings Quarter 4 2025,490.0,2531.0
08,Change since Quarter 4 2024,-15.5172,2.8862
