Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,2233,140,139,2273,1045,1489,1621,2908
2021,2198,138,117,1776,1081,1570,1415,3233
2022,2552,141,116,1925,1322,1238,1204,2167
2023,2616,147,136,1944,1328,1148,1252,2711
2024,2485,127,120,1971,1541,1261,1282,3672
2025,2655,156,131,1903,1615,1594,1157,4435
