Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,14966,2025,4084
2018,13618,2445,4520
2019,13074,2635,4514
2020,9701,2596,3682
2021,8759,2744,3551
2022,8478,2592,3366
2023,10091,2578,3367
2024,12001,2824,3673
2025,14648,3395,4916
