Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,12004,4651,3190,46,344,694,146
2018,10913,4799,3507,49,320,849,146
2019,10482,4609,3644,38,371,834,245
2020,8108,3599,3029,30,271,648,294
2021,7412,3486,2945,35,250,605,321
2022,7185,3318,2804,49,255,590,234
2023,8150,3464,3113,39,285,654,331
2024,9390,3610,4054,50,279,710,404
2025,11993,4927,4481,59,383,683,434
