Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,14819,6052,44,160
2018,14572,5783,41,187
2019,14246,5754,42,181
2020,11489,4289,35,166
2021,10813,4051,27,163
2022,10404,3839,28,164
2023,11686,4131,20,199
2024,13795,4479,15,208
2025,16873,5832,21,234
