District,Filing Year,Male,Female,Another Gender,Unknown/Missing
18,2017,14818,6052,44,161
18,2018,14575,5779,41,188
18,2019,14251,5748,43,181
18,2020,11487,4288,36,168
18,2021,10813,4052,27,162
18,2022,10402,3839,30,165
18,2023,11688,4128,20,200
18,2024,13794,4478,15,211
18,2025,16875,5826,21,237
18,2026,7840,2852,10,93
18,2029,1,0,0,0
18,2033,1,0,0,0
