Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,14959,2025,4091
2018,13612,2445,4526
2019,13059,2635,4529
2020,9696,2595,3688
2021,8750,2749,3555
2022,8469,2596,3370
2023,10081,2580,3375
2024,11990,2831,3676
2025,14612,3414,4934
