Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,8,132,140,5.7,94.3
2017 Q2,18,147,165,10.9,89.1
2017 Q3,11,148,159,6.9,93.1
2017 Q4,14,182,196,7.1,92.9
2018 Q1,18,159,177,10.2,89.8
2018 Q2,24,176,200,12.0,88.0
2018 Q3,26,187,213,12.2,87.8
2018 Q4,24,171,195,12.3,87.7
2019 Q1,18,191,209,8.6,91.4
2019 Q2,27,165,192,14.1,85.9
2019 Q3,24,193,217,11.1,88.9
2019 Q4,24,163,187,12.8,87.2
2020 Q1,16,162,178,9.0,91.0
2020 Q2,41,193,234,17.5,82.5
2020 Q3,22,180,202,10.9,89.1
2020 Q4,28,161,189,14.8,85.2
2021 Q1,27,173,200,13.5,86.5
2021 Q2,34,158,192,17.7,82.3
2021 Q3,40,185,225,17.8,82.2
2021 Q4,42,172,214,19.6,80.4
2022 Q1,26,147,173,15.0,85.0
2022 Q2,43,164,207,20.8,79.2
2022 Q3,35,172,207,16.9,83.1
2022 Q4,38,186,224,17.0,83.0
2023 Q1,29,174,203,14.3,85.7
2023 Q2,31,182,213,14.6,85.4
2023 Q3,31,188,219,14.2,85.8
2023 Q4,32,173,205,15.6,84.4
2024 Q1,24,178,202,11.9,88.1
2024 Q2,33,176,209,15.8,84.2
2024 Q3,29,183,212,13.7,86.3
2024 Q4,30,167,197,15.2,84.8
2025 Q1,36,203,239,15.1,84.9
2025 Q2,16,177,193,8.3,91.7
2025 Q3,39,195,234,16.7,83.3
2025 Q4,47,162,209,22.5,77.5
2026 Q1,29,177,206,14.1,85.9
2026 Q2,36,187,223,16.1,83.9
