District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
20,2017,2281,3900,210
20,2018,2531,4488,221
20,2019,2106,6032,618
20,2020,1715,5016,467
20,2021,1921,5573,372
20,2022,1815,5786,665
20,2023,1897,6254,770
20,2024,1892,7465,1022
20,2025,1663,7086,979
20,2026,765,3303,533
