District,Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
20,2020,1818,87,48,1510,309,568,614,2244
20,2021,1955,96,53,1583,341,634,685,2519
20,2022,2233,121,60,1620,446,747,617,2422
20,2023,2471,127,79,1817,585,738,593,2511
20,2024,2469,122,113,2092,728,869,734,3252
20,2025,2307,120,96,1944,706,816,640,3099
