Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,2281,3900,210
2018,2531,4488,221
2019,2106,6032,618
2020,1715,5016,467
2021,1921,5573,372
2022,1815,5786,665
2023,1897,6254,770
2024,1892,7465,1022
2025,1663,7086,979
