Metric,Felony,Misdemeanor
Filings 2025,1663.0,7087.0
Change since 2024,-12.1036,-5.0636
,,
Filings Quarter 4 2025,399.0,1618.0
Change since Quarter 4 2024,-13.449,-18.5707
