Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,11,81,92,12.0,88.0
2017 Q2,9,105,114,7.9,92.1
2017 Q3,13,109,122,10.7,89.3
2017 Q4,13,94,107,12.1,87.9
2018 Q1,13,80,93,14.0,86.0
2018 Q2,18,93,111,16.2,83.8
2018 Q3,12,95,107,11.2,88.8
2018 Q4,15,96,111,13.5,86.5
2019 Q1,14,80,94,14.9,85.1
2019 Q2,12,82,94,12.8,87.2
2019 Q3,20,84,104,19.2,80.8
2019 Q4,9,96,105,8.6,91.4
2020 Q1,22,110,132,16.7,83.3
2020 Q2,19,99,118,16.1,83.9
2020 Q3,28,90,118,23.7,76.3
2020 Q4,25,91,116,21.6,78.4
2021 Q1,19,94,113,16.8,83.2
2021 Q2,21,94,115,18.3,81.7
2021 Q3,14,94,108,13.0,87.0
2021 Q4,14,86,100,14.0,86.0
2022 Q1,16,74,90,17.8,82.2
2022 Q2,22,77,99,22.2,77.8
2022 Q3,27,92,119,22.7,77.3
2022 Q4,18,107,125,14.4,85.6
2023 Q1,16,101,117,13.7,86.3
2023 Q2,17,135,152,11.2,88.8
2023 Q3,26,102,128,20.3,79.7
2023 Q4,16,107,123,13.0,87.0
2024 Q1,22,81,103,21.4,78.6
2024 Q2,20,103,123,16.3,83.7
2024 Q3,23,126,149,15.4,84.6
2024 Q4,19,90,109,17.4,82.6
2025 Q1,27,105,132,20.5,79.5
2025 Q2,30,108,138,21.7,78.3
2025 Q3,25,102,127,19.7,80.3
2025 Q4,26,102,128,20.3,79.7
2026 Q1,26,109,135,19.3,80.7
2026 Q2,19,111,130,14.6,85.4
