Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,118,85,68,271
2017 Q2,162,93,74,329
2017 Q3,123,80,71,274
2017 Q4,143,88,69,300
2018 Q1,124,99,77,300
2018 Q2,148,65,66,279
2018 Q3,138,78,61,277
2018 Q4,165,105,67,337
2019 Q1,106,79,56,241
2019 Q2,172,84,65,321
2019 Q3,164,95,58,317
2019 Q4,167,91,55,313
2020 Q1,180,90,51,321
2020 Q2,103,40,25,168
2020 Q3,120,59,49,228
2020 Q4,116,44,39,199
2021 Q1,122,72,44,238
2021 Q2,149,68,59,276
2021 Q3,122,48,38,208
2021 Q4,126,64,42,232
2022 Q1,126,68,38,232
2022 Q2,166,68,61,295
2022 Q3,118,53,31,202
2022 Q4,130,51,29,210
2023 Q1,131,59,45,235
2023 Q2,124,48,50,222
2023 Q3,127,58,35,220
2023 Q4,126,41,39,206
2024 Q1,122,66,50,238
2024 Q2,134,54,43,231
2024 Q3,152,60,51,263
2024 Q4,104,76,35,215
2025 Q1,128,40,47,215
2025 Q2,148,55,42,245
2025 Q3,109,49,45,203
2025 Q4,111,48,38,197
2026 Q1,147,57,43,247
2026 Q2,77,59,41,177
