District,Filing Year,Male,Female,Another Gender,Unknown/Missing
19,2017,9305,3498,7,102
19,2018,9386,3468,1,63
19,2019,9681,3467,2,51
19,2020,8125,2834,2,20
19,2021,8758,3042,1,27
19,2022,7013,2287,0,16
19,2023,6687,2292,0,21
19,2024,6949,2362,0,21
19,2025,6992,2352,1,24
