Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,9305,3498,7,102
2018,9386,3468,1,63
2019,9681,3467,2,51
2020,8125,2834,2,20
2021,8758,3042,1,27
2022,7013,2287,0,16
2023,6687,2292,0,21
2024,6949,2362,0,21
2025,6992,2352,1,24
