District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
19,2017,6608,2073,4231
19,2018,6134,2328,4456
19,2019,6214,2604,4383
19,2020,4748,2562,3671
19,2021,4929,3081,3818
19,2022,4116,2437,2763
19,2023,4141,2206,2653
19,2024,4251,2364,2717
19,2025,4210,2349,2810
