Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,7863,417,4240,24,77,263,28
2018,7736,417,4261,21,96,329,58
2019,7665,447,4584,34,68,334,69
2020,6392,472,3751,27,70,230,39
2021,6619,470,4370,23,88,217,41
2022,5555,376,3108,28,55,162,32
2023,5363,323,3042,25,69,143,35
2024,5535,345,3200,24,63,121,44
2025,5664,352,3086,17,86,86,74
