District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
19,2017 Q1,118,85,68,271
19,2017 Q2,162,93,74,329
19,2017 Q3,123,80,71,274
19,2017 Q4,143,88,69,300
19,2018 Q1,124,99,77,300
19,2018 Q2,148,65,66,279
19,2018 Q3,138,78,61,277
19,2018 Q4,165,105,67,337
19,2019 Q1,106,79,56,241
19,2019 Q2,172,84,65,321
19,2019 Q3,164,95,58,317
19,2019 Q4,167,91,55,313
19,2020 Q1,180,90,51,321
19,2020 Q2,103,40,25,168
19,2020 Q3,120,59,49,228
19,2020 Q4,116,44,39,199
19,2021 Q1,122,72,44,238
19,2021 Q2,149,68,59,276
19,2021 Q3,122,48,38,208
19,2021 Q4,126,64,42,232
19,2022 Q1,126,68,38,232
19,2022 Q2,166,68,61,295
19,2022 Q3,118,53,31,202
19,2022 Q4,130,51,29,210
19,2023 Q1,131,59,45,235
19,2023 Q2,124,48,50,222
19,2023 Q3,127,58,35,220
19,2023 Q4,126,41,39,206
19,2024 Q1,122,66,50,238
19,2024 Q2,134,54,43,231
19,2024 Q3,152,60,51,263
19,2024 Q4,104,76,35,215
19,2025 Q1,128,40,47,215
19,2025 Q2,148,55,42,245
19,2025 Q3,109,49,45,203
19,2025 Q4,112,48,38,198
19,2026 Q1,146,57,43,246
19,2026 Q2,74,58,41,173
