Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,6608,2073,4231
2018,6132,2329,4457
2019,6211,2606,4384
2020,4745,2562,3674
2021,4930,3080,3818
2022,4118,2438,2760
2023,4141,2203,2656
2024,4249,2366,2717
2025,4199,2358,2808
