Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,120,464,584,104,381,485,20.5,21.4
2021,178,558,736,159,467,626,24.2,25.4
2022,164,469,633,188,456,644,25.9,29.2
2023,169,462,631,172,426,598,26.8,28.8
2024,166,465,631,164,461,625,26.3,26.2
2025,154,460,614,164,459,623,25.1,26.3
