Filing Year,Male,Female,Unknown/Missing
2017,1752,2406,7514
2018,2083,2874,8593
2019,2009,2840,7999
2020,1374,2439,8652
2021,1003,1993,8719
2022,1181,2147,8956
2023,1339,2400,7252
2024,2375,3356,5904
2025,3616,4466,2983
