District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
01,2020,510,4133,4643,403,1597,2000,10.98427741,20.15
01,2021,768,5431,6199,571,1857,2428,12.38909502,23.51729819
01,2022,961,5392,6353,616,1785,2401,15.12671179,25.65597668
01,2023,799,4757,5556,569,1926,2495,14.38084953,22.80561122
01,2024,875,4570,5445,597,2187,2784,16.0697888,21.44396552
01,2025,613,3910,4523,743,2736,3479,13.55295158,21.3567117
