District,Filing Quarter,Number of violent cases filed involving a child victim
01,2017 Q1,32
01,2017 Q2,34
01,2017 Q3,35
01,2017 Q4,22
01,2018 Q1,44
01,2018 Q2,36
01,2018 Q3,46
01,2018 Q4,41
01,2019 Q1,41
01,2019 Q2,31
01,2019 Q3,43
01,2019 Q4,30
01,2020 Q1,41
01,2020 Q2,37
01,2020 Q3,39
01,2020 Q4,20
01,2021 Q1,22
01,2021 Q2,30
01,2021 Q3,24
01,2021 Q4,31
01,2022 Q1,33
01,2022 Q2,28
01,2022 Q3,32
01,2022 Q4,36
01,2023 Q1,26
01,2023 Q2,31
01,2023 Q3,25
01,2023 Q4,32
01,2024 Q1,38
01,2024 Q2,31
01,2024 Q3,40
01,2024 Q4,48
01,2025 Q1,32
01,2025 Q2,34
01,2025 Q3,22
01,2025 Q4,39
01,2026 Q1,38
01,2026 Q2,17
