Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,2556,140,33,7,21,1360,7555
2018,2036,95,29,10,11,9618,1751
2019,1863,104,38,7,23,10789,24
2020,1995,103,29,12,20,10301,5
2021,1619,126,37,5,26,9895,7
2022,2038,172,158,15,39,9852,10
2023,2248,210,396,17,59,8054,7
2024,2825,219,551,21,59,7951,9
2025,3536,308,501,21,87,5790,823
