Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,82,444,526,44,253,297,15.6,14.8
2021,81,501,582,67,450,517,13.9,13.0
2022,102,454,556,95,458,553,18.3,17.2
2023,85,433,518,110,408,518,16.4,21.2
2024,84,334,418,119,407,526,20.1,22.6
2025,97,344,441,118,442,560,22.0,21.1
