District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
01,2020,32,754,791,4.04551201,95.32237674
01,2021,40,668,712,5.61797753,93.82022472
01,2022,109,642,754,14.45623342,85.14588859
01,2023,119,526,647,18.39258114,81.29829985
01,2024,151,563,716,21.08938547,78.63128492
01,2025,235,489,726,32.36914601,67.3553719
