District,Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
01,2020,120,464,584,104,381,485,20.54794521,21.44329897
01,2021,178,558,736,159,467,626,24.18478261,25.39936102
01,2022,164,468,632,188,456,644,25.94936709,29.19254658
01,2023,169,462,631,172,426,598,26.78288431,28.76254181
01,2024,166,465,631,164,461,625,26.30744849,26.24
01,2025,154,460,614,164,460,624,25.08143322,26.28205128
