District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
01,2017,2556,140,33,7,21,1360,7555
01,2018,2035,95,29,10,11,9618,1751
01,2019,1861,104,38,7,23,10782,24
01,2020,1992,103,29,12,20,10303,5
01,2021,1619,126,37,5,26,9894,7
01,2022,2038,172,157,15,39,9853,10
01,2023,2248,208,395,17,59,8054,7
01,2024,2819,219,551,21,59,7954,9
01,2025,3525,306,496,21,86,5791,825
