District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
01,2017,860,1436,2280,4816,2280
01,2018,1045,1564,2544,5525,2871
01,2019,1009,1448,2540,5371,2471
01,2020,778,1420,2673,5392,2201
01,2021,635,1349,2486,5022,2222
01,2022,758,1332,2502,5265,2427
01,2023,865,1188,2121,4686,2128
01,2024,832,1256,2293,4975,2276
01,2025,809,1241,2163,4815,2022
