Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1102,14,1,1117,1.3,333,536,869,38.3
2017 Q2,1054,9,0,1063,0.8,389,581,970,40.1
2017 Q3,1172,18,0,1190,1.5,409,495,904,45.2
2017 Q4,1009,19,0,1028,1.8,387,566,953,40.6
2018 Q1,1250,26,0,1276,2.0,382,592,974,39.2
2018 Q2,1287,14,2,1303,1.1,452,601,1053,42.9
2018 Q3,1369,25,0,1394,1.8,440,572,1012,43.5
2018 Q4,1145,13,0,1158,1.1,484,608,1092,44.3
2019 Q1,1228,15,0,1243,1.2,539,642,1181,45.6
2019 Q2,1148,24,0,1172,2.0,481,589,1070,45.0
2019 Q3,1128,28,0,1156,2.4,473,532,1005,47.1
2019 Q4,1112,18,0,1130,1.6,458,462,920,49.8
2020 Q1,1203,31,0,1234,2.5,454,451,905,50.2
2020 Q2,1068,21,0,1089,1.9,215,231,446,48.2
2020 Q3,856,11,0,867,1.3,318,337,655,48.5
2020 Q4,844,13,0,857,1.5,292,315,607,48.1
2021 Q1,765,27,0,792,3.4,313,393,706,44.3
2021 Q2,824,32,0,856,3.7,305,418,723,42.2
2021 Q3,840,38,0,878,4.3,373,387,760,49.1
2021 Q4,828,25,0,853,2.9,278,400,678,41.0
2022 Q1,1005,27,0,1032,2.6,288,389,677,42.5
2022 Q2,767,33,0,800,4.1,284,433,717,39.6
2022 Q3,779,46,1,827,5.6,295,396,691,42.7
2022 Q4,779,42,0,821,5.1,267,380,647,41.3
2023 Q1,774,39,1,814,4.8,292,390,682,42.8
2023 Q2,739,21,1,761,2.8,300,365,665,45.1
2023 Q3,765,33,1,799,4.1,276,320,596,46.3
2023 Q4,779,26,0,808,3.2,272,285,557,48.8
2024 Q1,813,22,2,837,2.6,259,315,574,45.1
2024 Q2,701,29,2,733,4.0,260,302,562,46.3
2024 Q3,780,41,2,825,5.0,261,324,585,44.6
2024 Q4,629,25,0,655,3.8,279,291,570,48.9
2025 Q1,618,33,1,653,5.1,306,335,641,47.7
2025 Q2,834,31,1,867,3.6,235,264,499,47.1
2025 Q3,728,28,1,760,3.7,263,264,527,49.9
2025 Q4,651,29,0,681,4.3,229,247,476,48.1
2026 Q1,629,21,0,651,3.2,235,306,541,43.4
2026 Q2,650,26,1,678,3.8,247,304,551,44.8
