District,Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving White defendants declined
01,2024,287,28,315,843,100,943,1831,213,2044,8.88888889,10.60445387,10.42074364
01,2021,310,45,355,819,132,951,2168,330,2498,12.67605634,13.88012618,13.21056845
01,2022,321,48,369,906,136,1042,2165,266,2431,13.00813008,13.05182342,10.94199918
01,2025,324,33,357,897,97,994,1668,189,1857,9.24369748,9.75855131,10.17770598
01,2020,356,27,383,919,71,990,2674,213,2887,7.04960836,7.17171717,7.37790094
01,2023,318,30,348,866,95,961,1908,237,2145,8.62068966,9.8855359,11.04895105
