Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,4398,351,4749,24,477,272,83,189,3614,4659,7.4,5.8
2018,5131,480,5611,25,360,271,90,214,4042,5002,8.6,5.4
2019,4701,369,5070,21,356,283,94,208,4081,5043,7.3,5.6
2020,4047,337,4384,8,318,200,34,168,2579,3307,7.7,6.0
2021,3379,533,3912,22,326,292,49,243,2817,3749,13.6,7.8
2022,3480,491,3971,13,400,358,58,189,2675,3693,12.4,9.7
2023,3182,388,3570,11,372,347,59,189,2441,3419,10.9,10.1
2024,3050,374,3424,10,365,348,50,164,2243,3180,10.9,10.9
2025,2961,344,3305,17,360,315,46,143,2103,2984,10.4,10.6
