Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,358,27,385,925,71,996,19,7,26,2667,213,2880,7.0,7.1,26.9,7.4
2021,310,45,355,822,132,954,17,1,18,2168,330,2498,12.7,13.8,5.6,13.2
2022,321,48,369,915,135,1050,25,3,28,2155,265,2420,13.0,12.9,10.7,11.0
2023,317,30,347,862,96,958,18,2,20,1912,236,2148,8.6,10.0,10.0,11.0
2024,287,28,315,842,102,944,16,2,18,1834,211,2045,8.9,10.8,11.1,10.3
2025,323,32,355,897,100,997,13,4,17,1673,189,1862,9.0,10.0,23.5,10.2
