Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,4398,351,4749,7.4
2018,5131,480,5611,8.6
2019,4701,369,5070,7.3
2020,4047,337,4384,7.7
2021,3379,533,3912,13.6
2022,3480,491,3971,12.4
2023,3182,388,3570,10.9
2024,3050,374,3424,10.9
2025,2961,344,3305,10.4
