Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,4047,337,4384,7.6870438
2021,3379,533,3912,13.62474438
2022,3480,491,3971,12.36464367
2023,3182,388,3570,10.86834734
2024,3050,374,3424,10.9228972
2025,2961,343,3304,10.38135593
