Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,4398,4,4402,0.1
2018,5131,64,5195,1.2
2019,4701,71,4772,1.5
2020,4047,33,4080,0.8
2021,3379,69,3448,2.0
2022,3480,68,3548,1.9
2023,3182,47,3229,1.5
2024,3050,49,3099,1.6
2025,2961,38,2999,1.3
