District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
22,2017 Q1,13.8,11.4
22,2017 Q2,12.8,13.0
22,2017 Q3,26.6667,19.3333
22,2017 Q4,17.5,17.75
22,2018 Q1,17.5,12.3333
22,2018 Q2,14.25,10.3333
22,2018 Q3,17.2,9.5
22,2018 Q4,15.3333,9.6667
22,2019 Q1,14.4,9.8
22,2019 Q2,11.6667,14.1667
22,2019 Q3,16.2,8.6
22,2019 Q4,13.75,13.0
22,2020 Q1,12.5,10.6667
22,2020 Q2,12.75,8.6667
22,2020 Q3,16.8,11.3333
22,2020 Q4,13.5,9.75
22,2021 Q1,16.6667,12.25
22,2021 Q2,22.25,15.5
22,2021 Q3,15.2,10.6667
22,2021 Q4,11.4,10.6667
22,2022 Q1,15.4,14.25
22,2022 Q2,9.8,12.3333
22,2022 Q3,13.6667,17.6667
22,2022 Q4,14.6667,7.0
22,2023 Q1,12.0,8.3333
22,2023 Q2,11.5,13.5
22,2023 Q3,14.8333,15.0
22,2023 Q4,13.0,18.0
22,2024 Q1,11.6,14.0
22,2024 Q2,11.6,10.8
22,2024 Q3,13.75,10.0
22,2024 Q4,12.0,12.25
22,2025 Q1,20.3333,17.5
22,2025 Q2,14.25,15.0
22,2025 Q3,16.6667,15.3333
22,2025 Q4,18.6667,11.3333
22,2026 Q1,15.0,13.3333
22,2026 Q2,20.0,7.0
