Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,1140,14,71,3,6,29,1581
2018,962,14,153,0,5,731,320
2019,877,8,198,1,4,742,19
2020,978,15,223,3,1,555,2
2021,1163,18,250,1,3,592,4
2022,933,12,300,1,2,465,1
2023,795,16,322,3,9,619,4
2024,936,21,376,1,5,652,4
2025,522,7,111,2,2,1186,7
