District,Filing Year,Male,Female,Unknown/Missing
09,2017,1049,1314,481
09,2018,810,1035,340
09,2019,675,904,270
09,2020,660,817,300
09,2021,676,924,431
09,2022,603,779,332
09,2023,592,787,389
09,2024,721,864,410
09,2025,578,769,490
