Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,11,44,55,3,16,19,20.0,15.78947368
2021,15,46,61,2,15,17,24.59016393,11.76470588
2022,11,57,68,3,8,11,16.17647059,27.27272727
2023,10,36,46,6,8,14,21.73913043,42.85714286
2024,10,48,58,5,19,24,17.24137931,20.83333333
2025,9,49,58,1,19,20,15.51724138,5.0
