Filing Year,Male,Female,Unknown/Missing
2017,1049,1314,481
2018,810,1035,340
2019,675,904,270
2020,660,817,300
2021,676,924,431
2022,603,779,332
2023,592,787,389
2024,721,864,410
2025,578,769,490
