Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,2,6,1,3,23,26.1,4.3
2017 Q2,0,11,0,6,35,31.4,0.0
2017 Q3,0,10,1,5,32,31.2,3.1
2017 Q4,1,12,2,5,33,36.4,6.1
2018 Q1,2,8,5,3,28,28.6,17.9
2018 Q2,0,4,0,3,14,28.6,0.0
2018 Q3,1,7,6,8,31,22.6,19.4
2018 Q4,0,7,2,11,28,25.0,7.1
2019 Q1,0,2,2,7,22,9.1,9.1
2019 Q2,1,1,2,2,19,5.3,10.5
2019 Q3,0,8,1,5,29,27.6,3.4
2019 Q4,2,4,4,8,32,12.5,12.5
2020 Q1,5,7,0,5,31,22.6,0.0
2020 Q2,2,6,5,7,33,18.2,15.2
2020 Q3,1,5,3,5,29,17.2,10.3
2020 Q4,2,6,1,6,29,20.7,3.4
2021 Q1,3,7,3,15,48,14.6,6.2
2021 Q2,1,4,1,12,37,10.8,2.7
2021 Q3,2,5,0,7,27,18.5,0.0
2021 Q4,0,3,4,5,18,16.7,22.2
2022 Q1,1,4,0,3,17,23.5,0.0
2022 Q2,0,8,1,6,32,25.0,3.1
2022 Q3,1,10,0,5,30,33.3,0.0
2022 Q4,1,4,1,10,28,14.3,3.6
2023 Q1,2,2,1,6,23,8.7,4.3
2023 Q2,1,6,2,8,31,19.4,6.5
2023 Q3,0,2,1,6,27,7.4,3.7
2023 Q4,0,3,1,4,21,14.3,4.8
2024 Q1,0,7,0,6,26,26.9,0.0
2024 Q2,1,6,2,4,28,21.4,7.1
2024 Q3,1,7,0,4,24,29.2,0.0
2024 Q4,0,6,0,6,29,20.7,0.0
2025 Q1,3,2,0,10,30,6.7,0.0
2025 Q2,0,3,2,6,24,12.5,8.3
2025 Q3,0,7,0,5,23,30.4,0.0
2025 Q4,2,5,4,5,25,20.0,16.0
2026 Q1,2,5,5,8,31,16.1,16.1
2026 Q2,2,4,3,4,18,22.2,16.7
