District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
09,2020,57,65,123,46.34146341,52.84552846
09,2021,80,50,132,60.60606061,37.87878788
09,2022,58,49,110,52.72727273,44.54545455
09,2023,51,51,103,49.51456311,49.51456311
09,2024,56,50,106,52.83018868,47.16981132
09,2025,49,53,103,47.57281553,51.45631068
